obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"669.80153"	"0.00007"	"669.801565"	"0.000014"	"180"	""		"19948.395175"	"34874.0693"	"6d2.7s.7p"	"5F*"	"4"	""	""	"3"		""	"L5951"	
"669.80577"	"0.00005"	"669.805790"	"0.000007"	"270"	""		"15618.98461"	"30544.56459"	"5f.6d2.7s"	"5H*"	"3"	""	""	"2"		""	"L5951"	
"669.8516"	"0.0004"	"669.849984"	"0.000014"	"14"	""		"21165.098037"	"36089.6933"	"5f.6d.7s2"	"3D*"	"3"	""	""	"4"		""	"L3552"	
"669.86126"	"0.00022"	"669.860897"	"0.000006"	"71"	""		"16346.64962"	"31271.00174"	"5f.6d2.7s"	"5H*"	"4"	""	""	"5"		""	"L12239"	
"670.07499"	"0.00007"	"670.075016"	"0.000014"	"150*"	""		"14204.26476"	"29123.8479"	"6d3.(2G).7s"	""	"5"	""	"*"	"6 or 5"		""	"L5951"	
"670.07499"	"0.00007"	"670.07505"	"0.00006"	"150*"	""		"26111.53886"	"41031.1213"	""	""	"1"	""	"*"	"2"		""	"L5951"	
"670.0805"	"0.0003"	"670.080914"	"0.000018"	"24"	""		"21143.42198"	"36062.8738"	"6d3.(2H).7s"	"1H"	"5"	""	"*"	"4"		""	"L12239"	
"670.1010"	"0.0004"	"670.101818"	"0.000007"	"14"	""		"16346.64962"	"31265.63604"	"5f.6d2.7s"	"5H*"	"4"	""	""	"3"		""	"L3552"	
"670.1872"	"0.0004"	"670.188423"	"0.000023"	"10"	""		"23032.986182"	"37950.0447"	"5f.7s2.7p"	"3G"	"4"	""	"*"	"4"		""	"L12239"	
"670.2576"	"0.0004"	"670.25759"	"0.00003"	"7"	""		"21738.05013"	"36653.5692"	"5f.6d2.7s"	"5G*"	"2"	""	""	"2"		""	"L3552"	
"670.3091"	"0.0004"	"670.309753"	"0.000014"	"14"	""		"19516.98043"	"34431.3389"	"6d2.7s.7p"	"5D*"	"2"	""	""	"3"		""	"L3552"	
"670.3348"	"0.0004"	"670.33546"	"0.00003"	"36"	""		"21575.03713"	"36488.8237"	"6d3.(2P).7s"	""	"2"	""	"*"	"2"		""	"L3552"	
"670.5151"	"0.0004"	"670.515652"	"0.000007"	"72"	""		"18053.617845"	"32963.39652"	"6d.7s2.7p"	"3F*"	"4"	""	""	"5"		""	"L3552"	
"670.5428"	"0.0004"	"670.543181"	"0.000023"	"57"	""		"20922.12244"	"35831.2890"	""	"*"	"2"	""	""	"3"		""	"L3552"	
"670.6091"	"0.0003"	"670.60892"	"0.00003"	"20"	""		"25575.04516"	"40482.7503"	""	"*"	"4"	""	""	"5"		""	"L12239"	
"670.6451"	"0.0004"	"670.645450"	"0.000018"	"14"	""		"22877.51748"	"37784.4105"	""	"*"	"1"	""	""	"2"		""	"L3552"	
"670.7733"	"0.0005"	"670.773828"	"0.000023"	"21"	""		"22399.39666"	"37303.4367"	"5f.6d2.7s"	"3I*"	"5"	""	""	"4"		""	"L3552"	
"670.8287"	"0.0003"	"670.828614"	"0.000005"	"26"	""		"14032.085336"	"28934.90819"	"6d.7s2.7p"	"3D*"	"2"	""	""	"3"		""	"L12239"	
"670.8394"	"0.0004"	"670.839589"	"0.000014"	"12"	""		"17959.89498"	"32862.47402"	"6d3.(4F).7s"	"3F"	"4"	""	"*"	"4"		""	"L12239"	
"670.88411"	"0.00009"	"670.884022"	"0.000008"	"82"	""		"18930.29333"	"33831.88538"	"6d2.7s.7p"	"3G*"	"3"	""	""	"4"		""	"L5951"	
"670.9248"	"0.0005"	"670.925840"	"0.000010"	"14"	""		"19948.395175"	"34849.05842"	"6d2.7s.7p"	"5F*"	"4"	""	""	"5"		""	"L3552"	
"670.9443"	"0.0005"	"670.944099"	"0.000005"	"14"	""		"13945.307389"	"28845.56513"	"6d.7s2.7p"	"3F*"	"3"	"5f.6d.7s.7p"	"5H"	"4"		""	"L3552"	
"671.0326"	"0.0004"	"671.03271"	"0.00003"	"11"	""		"20522.71449"	"35421.0046"	"6d2.7s.7p"	"3F*"	"2"	""	""	"1"		""	"L12239"	
"671.08677"	"0.00018"	"671.086909"	"0.000007"	"82"	""		"14206.91694"	"29104.00388"	"5f.6d.7s2"	"3F*"	"4"	"6d4"	"3G"	"4"		""	"L12239"	
"671.1078"	"0.0003"	"671.108169"	"0.000018"	"24"	""		"22508.04658"	"37404.6616"	"6d2.7s.7p"	"5P*"	"2"	""	""	"3"		""	"L12239"	
"671.125168"	"0.000018"	"671.125190"	"0.000005"	"840"	""		"9804.806547"	"24701.04375"	"6d3.(4F).7s"	"5F"	"5"	""	"*"	"5"		""	"L18702"	
"671.1495"	"0.0005"	"671.149933"	"0.000014"	"360"	""		"17398.39526"	"32294.0833"	"6d3.(4F).7s"	""	"3"	""	"*"	"4"		""	"L3552"	
"671.1858"	"0.0003"	"671.185044"	"0.000018"	"29"	""		"25405.16237"	"40300.0712"	"5f.6d.7s.7p"	"5H"	"4"	""	"*"	"4"		""	"L12239"	
"671.2017"	"0.0003"	"671.200855"	"0.000023"	"22"	""		"25753.93805"	"40648.4960"	""	"*"	"5"	""	""	"4"		""	"L12239"	
"671.2195"	"0.0003"	"671.21922"	"0.00003"	"34"	""		"21594.67329"	"36488.8237"	"6d3.(2F).7s"	"1F"	"3"	""	"*"	"2"		""	"L12239"	
"671.2838"	"0.0005"	"671.28275"	"0.00003"	"14"	""		"22855.29928"	"37748.0401"	""	"*"	"3"	""	""	"2"		""	"L3552"	
"671.35972"	"0.00009"	"671.359781"	"0.000014"	"100"	""		"18382.82669"	"33273.8588"	"6d2.7s.7p"	"5D*"	"0"	""	""	"1"		""	"L5951"	
"671.396999"	"0.000011"	"671.396988"	"0.000004"	"1500"	""		"6362.395980"	"21252.60286"	"6d3.(4F).7s"	"5F"	"2"	""	"*"	"2"		""	"L18702"	
"671.46859"	"0.00023"	"671.468322"	"0.000014"	"43"	""		"22669.88918"	"37558.5142"	""	"*"	"3"	""	""	"4"		""	"L12239"	
"671.55136"	"0.00007"	"671.551446"	"0.000014"	"150"	""		"17398.39526"	"32285.1774"	"6d3.(4F).7s"	""	"3"	""	"*"	"3"		""	"L5951"	
"671.6215"	"0.0005"	"671.62164"	"0.00003"	"21"	""		"21890.13254"	"36775.3589"	""	"*"	"3"	""	""	"3"		""	"L3552"	
"671.73850"	"0.00003"	"671.738471"	"0.000005"	"800"	""		"15490.077832"	"30372.71524"	"5f.6d.7s2"	"3G*"	"5"	""	""	"6"		""	"L5951"	
"671.7582"	"0.0005"	"671.757972"	"0.000023"	"7"	""		"21165.098037"	"36047.3034"	"5f.6d.7s2"	"3D*"	"3"	""	""	"2"		""	"L3552"	
"671.9011"	"0.0005"	"671.900721"	"0.000014"	"21"	""		"21902.26981"	"36781.3134"	"5f.6d2.7s"	"3H*"	"4"	""	""	"5"		""	"L3552"	
"671.919943"	"0.000012"	"671.919941"	"0.000004"	"1400"	""		"10526.544406"	"25405.16237"	"5f.6d.7s2"	"3G*"	"3"	"5f.6d.7s.7p"	"5H"	"4"		""	"L18702"	
"672.0699"	"0.0005"	"672.069527"	"0.000018"	"6"	""		"23015.15141"	"37890.4578"	""	"*"	"5"	""	""	"5"		""	"L3552"	
"672.10790"	"0.00023"	"672.107787"	"0.000008"	"42"	""		"20214.92997"	"35089.38959"	"6d2.7s.7p"	"5D*"	"3"	""	""	"3"		""	"L12239"	
"672.1618"	"0.0004"	"672.161526"	"0.000014"	"10"	""		"20522.71449"	"35395.9849"	"6d2.7s.7p"	"3F*"	"2"	""	""	"2"		""	"L12239"	
"672.1956"	"0.0003"	"672.195675"	"0.000008"	"18"	""		"19588.36224"	"34460.87707"	"6d2.7s.7p"	"5G*"	"5"	""	""	"5"		""	"L12239"	
"672.2852"	"0.0005"	"672.28573"	"0.00003"	"6"	""		"22877.51748"	"37748.0401"	""	"*"	"1"	""	""	"2"		""	"L3552"	
"672.3120"	"0.0005"	"672.310623"	"0.000018"	"13"	""		"19713.03109"	"34583.0031"	"6d3.(2F).7s"	"3F"	"3"	""	"*"	"3"		""	"L3552"	
"672.53767"	"0.00008"	"672.53739"	"0.00003"	"130*"	""		"25405.16237"	"40270.1206"	"5f.6d.7s.7p"	"5H"	"4"	""	"*"	"4"		""	"L5951"	
"672.5482"	"0.0005"	"672.548719"	"0.000014"	"13"	""		"22877.58322"	"37742.2910"	""	"*"	"5"	""	""	"6"		""	"L3552"	
